Serie;ID Alga;Site;Management;Latitud;Longitud;Fecha;Ub. Transecto;Depth.m;DD;NE;LE;LT;Frondosity;Species;NE.egg;Total.egg;E1;E2;E3;E4;E5;E6;E7;E8;E9;E10;E11;E12;E13;E14;E15;E16;E17;E18;E19;Taliepus;Observación;Datos tomados
1;1;Chañaral de Aceituno ALA;OA;-29.05396;-71.48563;25/10/2022;;21.6;56;9;170;220;3;Schroederichthys chilensis;3;8;2;5;1;;;;;;;;;;;;;;;;;;;Italo F
2;2;Chañaral de Aceituno ALA;OA;-29.05396;-71.48563;25/10/2022;;19.8;37;2;126;190;3;Schroederichthys chilensis;2;19;11;8;;;;;;;;;;;;;;;;;;;;Italo F
3;3;Chañaral de Aceituno ALA;OA;-29.05396;-71.48563;25/10/2022;;20.2;52;4;145;190;3;Schroederichthys chilensis;3;41;27;1;13;;;;;;;;;;;;;;;;;;;Italo F
4;1;Chañaral de Aceituno ALA;OA;-29.04991;-71.48666;26/10/2022;;15.6;25;3;164;232;3;Schroederichthys chilensis;2;61;46;15;;;;;;;;;;;;;;;;;;;;Italo F
5;2;Chañaral de Aceituno ALA;OA;-29.04991;-71.48666;26/10/2022;;16;40;6;87;200;2;Schroederichthys chilensis;1;3;3;;;;;;;;;;;;;;;;;;;;;Isabella/Italo F
6;3;Chañaral de Aceituno ALA;OA;-29.04991;-71.48666;26/10/2022;;15.9;32;2;90;236;2;Schroederichthys chilensis;2;3;1;2;;;;;;;;;;;;;;;;;;;Los huevos estaban en una postura de varios manojos de tendrils sin huevos;Isabella/Italo F
7;4;Chañaral de Aceituno ALA;OA;-29.04991;-71.48666;26/10/2022;;15.7;50;11;129;233;3;Schroederichthys chilensis;1;28;28;;;;;;;;;;;;;;;;;;;;;Isabella/Italo F
8;5;Chañaral de Aceituno ALA;OA;-29.04991;-71.48666;26/10/2022;;15.8;15;1;89;227;3;Schroederichthys chilensis;1;21;21;;;;;;;;;;;;;;;;;;;;;Isabella/Italo F
9;6;Chañaral de Aceituno ALA;OA;-29.04991;-71.48666;26/10/2022;;15.9;35;5;103;169;NA;Schroederichthys chilensis;2;32;25;7;;;;;;;;;;;;;;;;;;;;Isabella/Italo F
10;7;Chañaral de Aceituno ALA;OA;-29.04991;-71.48666;26/10/2022;;15.8;38;4;95;229;NA;Schroederichthys chilensis;3;57;7;28;22;;;;;;;;;;;;;;;;;;;Isabella/Italo F
11;8;Chañaral de Aceituno ALA;OA;-29.04991;-71.48666;26/10/2022;;15.4;44;2;107;215;NA;Schroederichthys chilensis;1;14;14;;;;;;;;;;;;;;;;;;;;;Isabella/Italo F
12;9;Chañaral de Aceituno ALA;OA;-29.04991;-71.48666;26/10/2022;;16;26;4;138;228;NA;Schroederichthys chilensis;2;38;14;24;;;;;;;;;;;;;;;;;;;;Isabella/Italo F
13;10;Chañaral de Aceituno ALA;OA;-29.04991;-71.48666;26/10/2022;;13;45;5;110;200;3;Schroederichthys chilensis;5;69;5;12;5;45;2;;;;;;;;;;;;;;;;;Gabriela Winkler/Juan Carlos Gonzalez 
14;1;Chañaral de Aceituno C;AMERB;-29.13811;-71.49955;27/10/2022;;14.6;70;16;125;224;3;Schroederichthys chilensis;6;64;17;9;2;4;17;15;;;;;;;;;;;;;;;la alga 10 y 11 estaban unidas por el estipe 6 que tenia una postura d 15 huevos, amarrando ambos estipes. Habian unas 5 a 8 capsulas vacias ;Gabriela Winkler/Juan Carlos Gonzalez 
15;2;Chañaral de Aceituno C;AMERB;-29.13811;-71.49955;27/10/2022;;14.6;65;14;134;263;3;Schroederichthys chilensis;4;35;9;2;18;6;;;;;;;;;;;;;;;;;la alga 10 y 11 estaban unidas por el estipe 6 que tenia una postura d 15 huevos, amarrando ambos estipes. Habian unas 5 a 8 capsulas vacias ;Gabriela Winkler/Juan Carlos Gonzalez 
16;1;Punta de Tralca;OA;-33.42367;-71.70604;28/11/2022;;11.5;41;8;137;227;3;Schroederichthys chilensis;2;42;37;5;;;;;;;;;;;;;;;;;;;;Yayo/Italo F
17;2;Punta de Tralca;OA;-33.42367;-71.70604;28/11/2022;;11.3;54;11;185;242;3;Schroederichthys chilensis;1;82;82;;;;;;;;;;;;;;;;;;;;;Yayo/Italo F
18;3;Punta de Tralca;OA;-33.42367;-71.70604;28/11/2022;;11.7;40;16;158;276;3;Schroederichthys chilensis;2;36;27;9;;;;;;;;;;;;;;;;;;;;Yayo/Italo F
19;4;Punta de Tralca;OA;-33.42367;-71.70604;28/11/2022;;11.4;38;8;200;230;3;Schroederichthys chilensis;2;95;11;84;;;;;;;;;;;;;;;;;;;Estipes unidas por huevos;Yayo/Italo F
20;5;Punta de Tralca;OA;-33.42367;-71.70604;28/11/2022;;11.8;45;16;167;280;3;Schroederichthys chilensis;2;31;27;4;;;;;;;;;;;;;;;;;;;;Yayo/Italo F
21;6;Punta de Tralca;OA;-33.42367;-71.70604;28/11/2022;;12.8;50;17;158;271;3;Schroederichthys chilensis;6;228;55;66;1;4;29;73;;;;;;;;;;;;;;;;Yayo/Italo F
22;7;Punta de Tralca;OA;-33.42367;-71.70604;28/11/2022;;12.6;45;14;190;300;3;Schroederichthys chilensis;2;92;43;49;;;;;;;;;;;;;;;;;;;;Yayo/Italo F
23;8;Punta de Tralca;OA;-33.42367;-71.70604;28/11/2022;;12.5;56;11;192;327;3;Schroederichthys chilensis;1;9;9;;;;;;;;;;;;;;;;;;;;;Yayo/Italo F
24;9;Punta de Tralca;OA;-33.42367;-71.70604;28/11/2022;;12.3;31;3;196;335;3;Schroederichthys chilensis;1;51;51;;;;;;;;;;;;;;;;;;;;;Yayo/Italo F
25;1;Caleta Cartagena;OA;-33.55081;-71.614579;14/12/2022;;5.1;23;6;43;141;3;Schroederichthys chilensis;4;62;17;43;1;1;;;;;;;;;;;;;;;;1;;Tomy W/ Italo
26;2;Caleta Cartagena;OA;-33.55081;-71.614579;14/12/2022;;5.2;25;5;64;153;3;Schroederichthys chilensis;3;13;14;10;;;;;;;;;;;;;;;;;;;;Tomy W/ Italo
27;3;Caleta Cartagena;OA;-33.55081;-71.614579;14/12/2022;;5.3;22;5;68;175;3;Schroederichthys chilensis;1;15;15;;;;;;;;;;;;;;;;;;;;;Tomy W/ Italo
28;4;Caleta Cartagena;OA;-33.55081;-71.614579;14/12/2022;;5.3;26;3;43;131;3;Sympterygia spp;2;3;2;1;;;;;;;;;;;;;;;;;;;;Tomy W/ Italo
29;4;Caleta Cartagena;OA;-33.55081;-71.614579;14/12/2022;;5.3;26;3;43;131;3;Schroederichthys chilensis;2;2;1;;;;;;;;;;;;;;;;;;;;;Tomy W/ Italo
30;5;Caleta Cartagena;OA;-33.55081;-71.614579;14/12/2022;;5.4;22;2;45;151;3;Schroederichthys chilensis;1;3;3;;;;;;;;;;;;;;;;;;;;;Tomy W/ Italo
31;6;Caleta Cartagena;OA;-33.55081;-71.614579;14/12/2022;;5.8;20;4;80;171;3;Schroederichthys chilensis;3;85;41;21;23;;;;;;;;;;;;;;;;;1;;Tomy W/ Italo
32;7;Caleta Cartagena;OA;-33.55081;-71.614579;14/12/2022;;5.8;21;3;46;140;2;Sympterygia spp;1;1;1;;;;;;;;;;;;;;;;;;;1;;Tomy W/ Italo
33;7;Caleta Cartagena;OA;-33.55081;-71.614579;14/12/2022;;5.8;21;3;46;140;2;Schroederichthys chilensis;1;6;6;;;;;;;;;;;;;;;;;;;1;;Tomy W/ Italo
34;8;Caleta Cartagena;OA;-33.55081;-71.614579;14/12/2022;;5.8;27;3;70;171;2;Schroederichthys chilensis;2;60;25;35;;;;;;;;;;;;;;;;;;1;;Tomy W/ Italo
35;9;Caleta Cartagena;OA;-33.55081;-71.614579;14/12/2022;;5.8;23;3;52;144;2;Schroederichthys chilensis;3;32;29;2;1;;;;;;;;;;;;;;;;;3;;Tomy W/ Italo
36;10;Caleta Cartagena;OA;-33.55081;-71.614579;14/12/2022;;6.5;20;4;64;158;2;Schroederichthys chilensis;3;48;7;37;4;;;;;;;;;;;;;;;;;2;;Tomy W/ Italo
