Date;Day;Month;Year;Site;Management;Transect;Cuadrante;Estacion del transecto (m);Depth.m;Species.type;Species;Presence;Abundance;DD;NE;LE;LT;Frondosity;Observaciones
24/10/2022;24;10;2022;Chañaral de Aceituno ALA;OA;1;1;10;13.7;Macroalgae;Lessonia trabeculata;1;1;27;9;89;121;3;
24/10/2022;24;10;2022;Chañaral de Aceituno ALA;OA;1;1;0;13.9;Macroalgae;Lessonia trabeculata;1;1;23;2;74;229;2;
21/4/2024;21;4;2024;Huiro;OA;1;1;0;11;Animal;Taliepus sp;1;2;;;;;;
24/10/2022;24;10;2022;Chañaral de Aceituno ALA;OA;1;2;20;13.2;Macroalgae;Lessonia trabeculata;1;1;18;3;49;150;3;
24/10/2022;24;10;2022;Chañaral de Aceituno ALA;OA;1;2;20;;Macroalgae;Lessonia trabeculata;1;1;23;3;113;229;3;
24/10/2022;24;10;2022;Chañaral de Aceituno ALA;OA;1;2;10;13.6;Macroalgae;Lessonia trabeculata;1;1;19;2;100;210;3;
21/4/2024;21;4;2024;Huiro;OA;1;2;25;9.5;Animal;Taliepus sp;1;6;;;;;;
24/10/2022;24;10;2022;Chañaral de Aceituno ALA;OA;1;2;10;13.6;Macroalgae;Lessonia trabeculata;1;1;22;2;90;290;3;
24/10/2022;24;10;2022;Chañaral de Aceituno ALA;OA;1;3;30;11;Macroalgae;Lessonia trabeculata;1;1;28;1;45;229;3;
24/10/2022;24;10;2022;Chañaral de Aceituno ALA;OA;1;3;30;11;Macroalgae;Lessonia trabeculata;1;1;27;1;70;140;3;
21/4/2024;21;4;2024;Huiro;OA;1;3;50;8;Animal;Taliepus sp;1;6;;;;;;
24/10/2022;24;10;2022;Chañaral de Aceituno ALA;OA;1;3;20;11;Macroalgae;Lessonia trabeculata;1;1;32;2;52;200;3;
24/10/2022;24;10;2022;Chañaral de Aceituno ALA;OA;1;4;60;10.9;Macroalgae;Lessonia trabeculata;1;1;22;4;27;90;3;
21/4/2024;21;4;2024;Huiro;OA;2;1;0;12.5;Animal;Taliepus sp;1;1;;;;;;
24/10/2022;24;10;2022;Chañaral de Aceituno ALA;OA;1;4;60;;Macroalgae;Lessonia trabeculata;1;1;13;5;16;120;3;
24/10/2022;24;10;2022;Chañaral de Aceituno ALA;OA;1;4;30;11;Macroalgae;Lessonia trabeculata;1;1;14;5;100;150;3;Coalescente
24/10/2022;24;10;2022;Chañaral de Aceituno ALA;OA;1;5;70;9;Macroalgae;Lessonia trabeculata;1;1;62;5;83;190;3;Disco fusionado
21/4/2024;21;4;2024;Huiro;OA;2;2;25;11.5;Animal;Taliepus sp;1;3;;;;;;
24/10/2022;24;10;2022;Chañaral de Aceituno ALA;OA;1;5;70;9;Macroalgae;Lessonia trabeculata;1;1;13;3;25;79;3;
24/10/2022;24;10;2022;Chañaral de Aceituno ALA;OA;1;5;40;10;Macroalgae;Lessonia trabeculata;1;1;22;2;94;290;3;
24/10/2022;24;10;2022;Chañaral de Aceituno ALA;OA;1;6;90;7.8;Macroalgae;Lessonia trabeculata;1;1;10;1;15;60;3;
21/4/2024;21;4;2024;Huiro;OA;2;3;50;12.4;Animal;Taliepus sp;1;7;;;;;;
24/10/2022;24;10;2022;Chañaral de Aceituno ALA;OA;1;6;50;8;Macroalgae;Lessonia trabeculata;1;1;7;2;NA;70;3;
24/10/2022;24;10;2022;Chañaral de Aceituno ALA;OA;1;6;50;8;Macroalgae;Lessonia trabeculata;1;1;15;5;NA;86;3;
24/10/2022;24;10;2022;Chañaral de Aceituno ALA;OA;1;7;90;5;Macroalgae;Lessonia trabeculata;1;1;1;1;2;39;3;
24/10/2022;24;10;2022;Chañaral de Aceituno ALA;OA;1;7;90;5;Macroalgae;Lessonia trabeculata;1;1;4;1;3;30;3;
